Player,Team
David Raya,Arsenal
Ben White,Arsenal
Jurrien Timber,Arsenal
Piero Hincapie,Arsenal
Myles Lewis-Skelly,Arsenal
Ethan Nwaneri,Arsenal
Declan Rice,Arsenal
Eberechi Eze,Arsenal
Bukayo Saka,Arsenal
Viktor Gyokeres,Arsenal
Noni Madueke,Arsenal
Emiliano Martinez,Aston Villa
Matty Cash,Aston Villa
Ezri Konsa,Aston Villa
Pau Torres,Aston Villa
Ian Maatsen,Aston Villa
John McGinn,Aston Villa
Boubacar Kamara,Aston Villa
Youri Tielemans,Aston Villa
Emiliano Buendia,Aston Villa
Morgan Rogers,Aston Villa
Ollie Watkins,Aston Villa
Djordje Petrovic,Bournemouth
Adam Smith,Bournemouth
Bafode Diakite,Bournemouth
Marcos Senesi,Bournemouth
Adrien Truffert,Bournemouth
Alex Scott,Bournemouth
Tyler Adams,Bournemouth
Alex Jimenez,Bournemouth
Justin Kluivert,Bournemouth
Antoine Semenyo,Bournemouth
Evanilson,Bournemouth
Caoimhin Kelleher,Brentford
Michael Kayode,Brentford
Sepp van den Berg,Brentford
Nathan Collins,Brentford
Rico Henry,Brentford
Jordan Henderson,Brentford
Yehor Yarmoliuk,Brentford
Dango Ouattara,Brentford
Mikkel Damsgaard,Brentford
Keane Lewis-Potter,Brentford
Igor Thiago,Brentford
Bart Verbruggen,Brighton and Hove Albion
Mats Wieffer,Brighton and Hove Albion
Jan Paul van Hecke,Brighton and Hove Albion
Lewis Dunk,Brighton and Hove Albion
Maxim De Cuyper,Brighton and Hove Albion
Carlos Baleba,Brighton and Hove Albion
Jack Hinshelwood,Brighton and Hove Albion
Yankuba Minteh,Brighton and Hove Albion
Georginio Rutter,Brighton and Hove Albion
Ferdi Kadioglu,Brighton and Hove Albion
Danny Welbeck,Brighton and Hove Albion
Martin Dubravka,Burnley
Jacob Bruun Larsen,Burnley
Hjalmar Ekdal,Burnley
Joe Worrall,Burnley
Maxime Esteve,Burnley
Quilindschy Hartman,Burnley
Lesley Ugochukwu,Burnley
Jacob Bruun Larsen,Burnley
Josh Cullen,Burnley
Lyle Foster,Burnley
Armando Broja,Burnley
Robert Sanchez,Chelsea
Malo Gusto,Chelsea
Wesley Fofana,Chelsea
Trevoh Chalobah,Chelsea
Marc Cucurella,Chelsea
Reece James,Chelsea
Enzo Fernandez,Chelsea
Pedro Neto,Chelsea
Cole Palmer,Chelsea
Alejandro Garnacho,Chelsea
Joao Pedro,Chelsea
Dean Henderson,Crystal Palace
Chris Richards,Crystal Palace
Maxence Lacroix,Crystal Palace
Marc Guehi,Crystal Palace
Nathaniel Clyne,Crystal Palace
Will Hughes,Crystal Palace
Adam Wharton,Crystal Palace
Tyrick Mitchell,Crystal Palace
Daichi Kamada,Crystal Palace
Yeremy Pino,Crystal Palace
Jean-Philippe Mateta,Crystal Palace
Jordan Pickford,Everton
Jake O'Brien,Everton
James Tarkowski,Everton
Michael Keane,Everton
Vitalii Mykolenko,Everton
James Garner,Everton
Idrissa Gueye,Everton
Iliman Ndiaye,Everton
Kiernan Dewsbury-Hall,Everton
Jack Grealish,Everton
Thierno Barry,Everton
Bernd Leno,Fulham
Kenny Tete,Fulham
Joachim Andersen,Fulham
Calvin Bassey,Fulham
Timothy Castagne,Fulham
Alex Iwobi,Fulham
Sander Berge,Fulham
Harry Wilson,Fulham
Emile Smith Rowe,Fulham
Samuel Chukwueze,Fulham
Raul Jimenez,Fulham
Lucas Perri,Leeds United
Jayden Bogle,Leeds United
Joe Rodon,Leeds United
Jaka Bijol,Leeds United
Pascal Struijk,Leeds United
Gabriel Gudmundsson,Leeds United
Anton Stach,Leeds United
Ethan Ampadu,Leeds United
Ao Tanaka,Leeds United
Dominic Calvert-Lewin,Leeds United
Noah Okafor,Leeds United
Alisson Becker,Liverpool
Joe Gomez,Liverpool
Ibrahima Konate,Liverpool
Virgil van Dijk,Liverpool
Milos Kerkez,Liverpool
Ryan Gravenberch,Liverpool
Dominik Szoboszlai,Liverpool
Curtis Jones,Liverpool
Florian Wirtz,Liverpool
Gianluigi Donnarumma,Manchester City
Matheus Nunes,Manchester City
Ruben Dias,Manchester City
Josko Gvardiol,Manchester City
Nico O'Reilly,Manchester City
Bernardo Silva,Manchester City
Nico Gonzalez,Manchester City
Phil Foden,Manchester City
Rayan Cherki,Manchester City
Erling Haaland,Manchester City
Jeremy Doku,Manchester City
Senne Lammens,Manchester United
Noussair Mazraoui,Manchester United
Ayden Heaven,Manchester United
Luke Shaw,Manchester United
Amad Diallo,Manchester United
Casemiro,Manchester United
Bruno Fernandes,Manchester United
Diogo Dalot,Manchester United
Bryan Mbeumo,Manchester United
Mason Mount,Manchester United
Matheus Cunha,Manchester United
Aaron Ramsdale,Newcastle United
Tino Livramento,Newcastle United
Malick Thiaw,Newcastle United
Dan Burn,Newcastle United
Lewis Hall,Newcastle United
Sandro Tonali,Newcastle United
Bruno Guimaraes,Newcastle United
Lewis Miley,Newcastle United
Jacob Murphy,Newcastle United
Nick Woltemade,Newcastle United
Anthony Gordon,Newcastle United
Matz Sels,Nottingham Forest
Nicolo Savona,Nottingham Forest
Nikola Milenkovic,Nottingham Forest
Murillo dos Santos,Nottingham Forest
Neco Williams,Nottingham Forest
Ibrahim Sangare,Nottingham Forest
Elliot Anderson,Nottingham Forest
Nicolas Dominguez,Nottingham Forest
Morgan Gibbs-White,Nottingham Forest
Callum Hudson-Odoi,Nottingham Forest
Igor Jesus,Nottingham Forest
Robin Roefs,Sunderland
Trai Hume,Sunderland
Nordi Mukiele,Sunderland
Dan Ballard,Sunderland
Omar Alderete,Sunderland
Reinildo Mandava,Sunderland
Chemsdine Talbi,Sunderland
Granit Xhaka,Sunderland
Noah Sadiki,Sunderland
Enzo Le Fee,Sunderland
Brian Brobbey,Sunderland
Guglielmo Vicario,Tottenham Hotspur
Pedro Porro,Tottenham Hotspur
Cristian Romero,Tottenham Hotspur
Micky van de Ven,Tottenham Hotspur
Djed Spence,Tottenham Hotspur
Archie Gray,Tottenham Hotspur
Rodrigo Bentancur,Tottenham Hotspur
Mohammed Kudus,Tottenham Hotspur
Lucas Bergvall,Tottenham Hotspur
Randal Kolo Muani,Tottenham Hotspur
Richarlison,Tottenham Hotspur
Alphonse Areola,West Ham United
Aaron Wan-Bissaka,West Ham United
Konstantinos Mavropanos,West Ham United
Jean-Clair Todibo,West Ham United
El Hadji Malick Diouf,West Ham United
Mateus Fernandes,West Ham United
Freddie Potts,West Ham United
Jarrod Bowen,West Ham United
Lucas Paqueta,West Ham United
Crysencio Summerville,West Ham United
Callum Wilson,West Ham United
Sam Johnstone,Wolverhampton Wanderers
Ki-Jana Hoever,Wolverhampton Wanderers
Yerson Mosquera,Wolverhampton Wanderers
Emmanuel Agbadou,Wolverhampton Wanderers
Toti Gomes,Wolverhampton Wanderers
David Moller Wolfe,Wolverhampton Wanderers
Joao Gomes,Wolverhampton Wanderers
Andre,Wolverhampton Wanderers
Ladislav Krejci,Wolverhampton Wanderers
Jorgen Strand Larsen,Wolverhampton Wanderers
Hwang Hee-Chan,Wolverhampton Wanderers
